City,Region,Country,Code,Year,Total Population,Served Population,Water Length,Percent Served
Stara Zagora,Europe,Bulgaria,BG19,2015,364318.0,363182.0,3362.0,0.996881844981582
Targovishte,Europe,Bulgaria,BG20,2015,85054.0,85054.0,1430.0,1.0
Orikum,Europe,Albania,UM065,2015,11840.0,5260.0,58.7,0.44425675675675674
BP. Bagerhat,South-East Asia,Bangladesh,BD1,2015,150000.0,81000.0,83.5,0.54
CP. Chandpur,South-East Asia,Bangladesh,BD7,2015,195000.0,180000.0,140.0,0.9230769230769231
CNJ P. Chapai Nawabganj,South-East Asia,Bangladesh,BD8,2015,255000.0,150000.0,125.0,0.5882352941176471
CP. Chuadanga,South-East Asia,Bangladesh,BD2,2015,134740.0,68210.0,90.18,0.5062342288852605
CWASA. Chittagong,South-East Asia,Bangladesh,BD9,2015,2941000.0,1407120.0,684.0,0.4784495069704182
DWASA. Dhaka & Naryanganj,South-East Asia,Bangladesh,BD10,2015,15000000.0,15000000.0,3349.56,1.0
GPS. Gazipur,South-East Asia,Bangladesh,BD3,2015,2500000.0,157880.0,36.0,0.063152
JPS. Jessore,South-East Asia,Bangladesh,BD4,2015,210000.0,185000.0,192.0,0.8809523809523809
MaP. Manikganj,South-East Asia,Bangladesh,BD5,2015,182000.0,39000.0,120.0,0.21428571428571427
Narsingdi Pourasava. Narsingdi,South-East Asia,Bangladesh,BD6,2015,242000.0,70230.0,71.25,0.2902066115702479
RWASA. Rajshahi,South-East Asia,Bangladesh,BD11,2015,913900.0,711250.0,604.25,0.7782580151001204
BCC. Barisal.,South-East Asia,Bangladesh,BD12,2015,600000.0,380000.0,289.0,0.6333333333333333
Faridpur ,South-East Asia,Bangladesh,BD14,2015,162000.0,80000.0,122.0,0.49382716049382713
GP. Gopalgong,South-East Asia,Bangladesh,BD15,2015,114000.0,71000.0,93.0,0.6228070175438597
MHP. Meherpur,South-East Asia,Bangladesh,BD16,2015,70000.0,44000.0,80.0,0.6285714285714286
Narail Pourashava. Narail,South-East Asia,Bangladesh,BD17,2015,61890.0,35850.0,45.92,0.5792535142995637
Laksham ,South-East Asia,Bangladesh,BD19,2015,105000.0,21930.0,20.74,0.20885714285714285
MuP. Munshiganj .,South-East Asia,Bangladesh,BD21,2015,76000.0,35950.0,30.5,0.4730263157894737
SHP. Shariatpur Pourashava,South-East Asia,Bangladesh,BD22,2015,72000.0,31760.0,55.31,0.4411111111111111
Rajbari ,South-East Asia,Bangladesh,BD23,2015,60000.0,21700.0,58.0,0.3616666666666667
SatP. Satkhira,South-East Asia,Bangladesh,BD24,2015,195000.0,160000.0,111.47,0.8205128205128205
Malaya Gorka,Europe,Belarus,BY23,2015,50340.0,50340.0,414.93,1.0
Dubrovno ,Europe,Belarus,BY32,2015,7800.0,7800.0,38.0,1.0
Mosty,Europe,Belarus,BY35,2015,27777.0,23877.0,145.8,0.8595960686899233
Pinsk,Europe,Belarus,BY36,2015,142546.0,140062.0,366.06,0.9825740462727821
Rogachev,Europe,Belarus,BY37,2015,40000.0,40000.0,173.18,1.0
Smolevichy,Europe,Belarus,BY38,2015,15923.0,13963.0,37.0,0.8769076179111976
Sharkovchina,Europe,Belarus,BY39,2015,6480.0,5600.0,27.2,0.8641975308641975
Ulaan Baatar,Western Pacific,Mongolia,MN1,2015,1345500.0,1030591.5,586.0,0.7659542920847269
Wroc?aw,Europe,Poland,PL38,2015,635759.0,599699.0,1453.0,0.9432803939857713
Lufwanyama,Africa,Zambia,ZM5,2015,206400.0,61968.0,378.0,0.30023255813953487
NPP. Noapara,South-East Asia,Bangladesh,BD27,2015,80760.0,6700.0,13.55,0.0829618623080733
Chowmuhani,South-East Asia,Bangladesh,BD28,2015,124500.0,68200.0,117.86,0.5477911646586345
KP. Kushtia,South-East Asia,Bangladesh,BD29,2015,158620.0,76000.0,119.0,0.4791325179674694
LMH. Lalmonirhat,South-East Asia,Bangladesh,BD30,2015,73000.0,36500.0,42.0,0.5
HP. Hajigonj,South-East Asia,Bangladesh,BD31,2015,113000.0,43160.0,40.2,0.38194690265486725
BhP. Bhola,South-East Asia,Bangladesh,BD32,2015,60930.0,38160.0,62.19,0.6262924667651403
NatP. Natore,South-East Asia,Bangladesh,BD34,2015,557000.0,199000.0,156.0,0.35727109515260325
RPCC. Rangpur,South-East Asia,Bangladesh,BD35,2015,900000.0,67000.0,154.25,0.07444444444444444
Bogdanci,Europe,North Macedonia,MC16,2015,6449.0,6449.0,20.0,1.0
Dolneni,Europe,North Macedonia,MC18,2015,13567.0,11438.0,172.0,0.8430751087196875
Ki?evo,Europe,North Macedonia,MC21,2015,57211.0,42556.0,322.35,0.7438429672615406
Kruševo,Europe,North Macedonia,MC23,2015,9684.0,9684.0,29.0,1.0
Peh?evo,Europe,North Macedonia,MC24,2015,5300.0,4300.0,60.45,0.8113207547169812
Vasilevo ,Europe,North Macedonia,MC26,2015,12122.0,9227.0,22.0,0.7611780234284772
Beheira,Eastern Mediterranean,Egypt,EG5,2015,5673409.0,5629301.0,10220.76,0.9922254855942874
Dakahlia,Eastern Mediterranean,Egypt,EG7,2015,6119322.0,6117922.0,9223.18,0.9997712164844406
Sharqia,Eastern Mediterranean,Egypt,EG8,2015,6500000.0,6500000.0,9055.0,1.0
Tu Son Town,Western Pacific,Vietnam,B03.2.B,2015,163093.0,17300.0,7.63,0.10607444832089667
Bao Loc City,Western Pacific,Vietnam,D05.3.B,2015,152140.0,60306.0,305.0,0.3963849086367819
